title:eeg_02, start timestamp:1594579772.919653, stop timestamp:1594579826.851280, headset type:INSIGHT, headset serial:A1D2064AFA, headset firmware:930, subject name:Samu, channels:57, sampling rate:eeg_128;mot_64;pow_8, samples:6919      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1594579772.919653,20.000000,0.000000,4150.769043,4274.871582,4019.487061,3982.564209,4108.205078,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,10.000000,0.000000,0.527098,0.453125,0.484375,-0.531250,1.031266,0.062501,-0.156252,-76.563667,-31.574202,2.011354,,,,,,,,,,,,,,,,,,,,,,,,,
1594579772.927549,21.000000,0.000000,4149.743652,4281.025879,4022.051270,3983.076904,4101.025879,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594579772.935446,22.000000,0.000000,4178.974121,4303.589844,4046.153809,4008.205078,4127.692383,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,11.000000,0.000000,0.527098,0.453125,0.484375,-0.531250,1.031266,0.062501,-0.156252,-76.563667,-32.244965,5.638402,,,,,,,,,,,,,,,,,,,,,,,,,
1594579772.943342,23.000000,0.000000,4215.384766,4330.256348,4081.538574,4043.076904,4169.743652,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594579772.951237,24.000000,0.000000,4221.538574,4326.153809,4083.589844,4040.512939,4171.282227,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,12.000000,0.000000,0.527098,0.453125,0.484375,-0.531250,1.031266,0.062501,-0.156252,-76.563667,-32.848652,5.074562,,,,,,,,,,,,,,,,,,,,,,,,,
1594579772.959133,25.000000,0.000000,4178.974121,4287.179688,4035.897461,3978.974365,4128.717773,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,38.582047,8.432076,7.373752,5.578986,2.236640,34.585354,3.836319,1.715447,2.079029,1.032257,32.521542,7.093543,5.896746,4.276648,2.426712,31.406752,4.574932,5.356384,6.674727,3.620541,28.471445,8.560847,5.907623,5.647321,2.171227
1594579772.966829,26.000000,0.000000,4143.077148,4268.717773,4007.692383,3972.307617,4111.282227,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,13.000000,0.000000,0.527098,0.453125,0.484375,-0.531250,1.031266,0.062501,-0.156252,-76.563667,-33.391968,4.567105,,,,,,,,,,,,,,,,,,,,,,,,,
1594579772.974725,27.000000,0.000000,4145.128418,4274.871582,4021.025635,4020.512939,4122.051270,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594579772.982621,28.000000,0.000000,4154.358887,4278.974121,4027.179443,4005.641113,4118.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,14.000000,0.000000,0.527098,0.453125,0.484375,-0.531250,1.031266,0.062501,-0.125002,-76.563667,-33.880955,4.110395,,,,,,,,,,,,,,,,,,,,,,,,,
1594579772.990516,29.000000,0.000000,4154.358887,4281.025879,4018.461426,3987.692383,4105.128418,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
